event_id,year,final_loss,fit_t0,fit_tE,fit_u0,fit_fbl,fit_I0,true_Tmax,true_tau,true_umin,true_fbl,true_I_bl
2019_0543,2019,0.0004792357503902167,2458627.75,21.27276611328125,0.6986819505691528,0.7596864104270935,17.045576095581055,2458628.297,40.785,0.253,0.184,17.047
2019_0545,2019,0.011346218176186085,2458593.75,20.862213134765625,0.07586672902107239,0.2304278016090393,19.610374450683594,2458593.679,24.987,0.059,0.176,19.607
2019_0548,2019,0.008498557843267918,2458599.5,8.28561019897461,0.3004806339740753,0.9102306962013245,19.526100158691406,2458598.557,11.88,0.074,0.326,19.514
2019_0582,2019,0.01991383545100689,2458601.0,2.903695821762085,0.23396116495132446,0.9293643236160278,19.051790237426758,2458601.271,6.259,0.006,0.231,19.05
2019_0585,2019,0.0008802294614724815,2458604.0,15.16421127319336,0.7581402063369751,0.7655103802680969,18.568931579589844,2458604.21,39.32,0.182,0.104,18.571
2019_0621,2019,0.03036680445075035,2458604.75,31.71828842163086,0.09567443281412125,0.3090859353542328,19.002466201782227,2458604.074,22.28,0.116,0.282,18.774
2019_0631,2019,5.944491203990765e-05,2458676.5,50.60676956176758,1.1818530559539795,0.7634493112564087,15.745040893554688,2458675.018,69.17,0.718,0.287,15.747
2019_0635,2019,0.004638046957552433,2458607.5,24.553211212158203,0.4412042796611786,0.6887938976287842,19.061073303222656,2458607.802,36.273,0.259,0.331,19.048
2019_0641,2019,0.005145195405930281,2458627.75,29.525686264038086,0.09754370152950287,0.6863918304443359,19.092294692993164,2458630.302,29.399,0.058,0.896,19.075
2019_0705,2019,0.022543244063854218,2458655.5,43.70722961425781,0.17436160147190094,0.9817816019058228,18.963417053222656,2458651.855,56.74,0.077,0.543,18.969
2019_0732,2019,0.0021175676956772804,2458640.75,24.950965881347656,0.28635817766189575,0.7958925366401672,18.776397705078125,2458640.51,40.267,0.154,0.4,18.815
2019_0766,2019,0.004909014329314232,2458620.0,4.875856399536133,0.3694549798965454,0.7269165515899658,18.575685501098633,2458621.085,18.614,0.069,0.151,18.597
2019_0781,2019,0.006926381960511208,2458639.5,24.842267990112305,0.19609524309635162,0.9534878730773926,19.682592391967773,2458638.863,31.153,0.134,0.593,19.681
2019_0796,2019,0.0022846441715955734,2458657.75,38.63100051879883,0.17265821993350983,0.3605458438396454,18.280750274658203,2458658.697,36.723,0.201,0.437,18.278
2019_0814,2019,0.003841001307591796,2458637.0,66.76946258544922,0.08248796314001083,0.07342604547739029,18.896759033203125,2458635.938,46.586,0.115,0.109,18.879
2019_0862,2019,0.0027715119067579508,2458621.75,10.923116683959961,1.0845407247543335,0.7041633129119873,18.393522262573242,2458634.684,66.679,0.016,0.037,18.396
2019_0878,2019,0.0004510846338234842,2458646.75,8.713282585144043,0.23752936720848083,0.7665815949440002,17.074480056762695,2458646.578,11.014,0.166,0.51,17.088
2019_0914,2019,0.0018150334944948554,2458648.0,11.310844421386719,0.15145932137966156,0.20680545270442963,18.577363967895508,2458647.917,8.167,0.223,0.315,18.559
2019_0922,2019,0.005077380686998367,2458658.5,24.62511444091797,0.29651111364364624,0.8214064836502075,19.058008193969727,2458659.541,41.301,0.158,0.382,19.065
2019_0944,2019,0.00029686966445297003,2458677.75,18.480195999145508,0.5587465167045593,0.8871077299118042,16.73862075805664,2458677.08,18.111,0.543,0.858,16.738
2019_0996,2019,0.02562544122338295,2458662.75,14.033278465270996,0.3077285885810852,0.9889851808547974,19.270462036132812,2458663.308,46.046,0.065,0.174,19.248
2019_1008,2019,0.01080140471458435,2458660.75,6.284332752227783,0.6428356170654297,0.8433001041412354,19.097742080688477,2458660.998,19.681,0.142,0.115,19.109
2019_1027,2019,0.011572935618460178,2458666.5,7.914822578430176,0.22558744251728058,0.958490788936615,19.518476486206055,2458666.345,13.449,0.116,0.454,19.54
2019_1032,2019,0.0027323716785758734,2458676.75,17.525880813598633,0.5394352078437805,0.9476078748703003,18.955646514892578,2458678.987,29.381,0.3,0.428,18.964
2019_1057,2019,0.01992458663880825,2458670.5,14.506779670715332,0.4005809426307678,0.9897571802139282,19.679109573364258,2458672.219,23.892,0.173,0.367,19.657
2019_1097,2019,0.01185761671513319,2458685.5,15.392788887023926,0.1578543782234192,0.4752372205257416,19.211938858032227,2458686.499,22.071,0.085,0.325,19.236
2019_1098,2019,0.0009129606187343597,2458695.75,26.516347885131836,0.8080655336380005,0.7847283482551575,18.099191665649414,2458695.203,95.681,0.138,0.072,18.122
2019_1104,2019,0.00014633328828494996,2458691.75,9.945198059082031,0.7164849042892456,0.8162502646446228,16.579450607299805,2458692.558,12.112,0.591,0.591,16.582
2019_1130,2019,0.0005639212904497981,2458684.75,1.7013522386550903,1.296378493309021,0.7175256609916687,17.70220947265625,2458686.401,4.65,0.245,0.113,17.702
2019_1146,2019,0.009981488808989525,2458693.5,11.10165786743164,0.8646246194839478,0.7694722414016724,18.968202590942383,2458698.52,48.615,0.39,0.414,19.247
2019_1148,2019,0.0024002583231776953,2458690.5,25.248558044433594,0.09969193488359451,0.21108603477478027,17.48148536682129,2458690.658,20.794,0.137,0.306,17.5
2019_1194,2019,0.008693354204297066,2458689.75,7.3909430503845215,0.16779756546020508,0.9412983655929565,19.103031158447266,2458689.93,10.183,0.101,0.579,19.143
2019_1207,2019,0.0012305224081501365,2458730.75,45.478515625,0.9393845200538635,0.8220279812812805,17.959978103637695,2458729.473,99.262,0.304,0.146,17.977
2019_1316,2019,0.0015806861920282245,2458722.5,7.371956825256348,0.7180408239364624,0.7130269408226013,18.09107208251953,2458722.486,33.473,0.103,0.061,18.127
2019_1318,2019,0.0015065449988469481,2458717.75,5.486687183380127,0.7464156746864319,0.814315676689148,17.918258666992188,2458717.423,22.832,0.109,0.068,17.944
2019_1328,2019,0.00038323685294017196,2458757.5,25.416728973388672,0.1888144463300705,0.9335391521453857,17.426054000854492,2458757.464,25.005,0.192,0.95,17.423
2019_1343,2019,0.0005914765642955899,2458718.75,0.7373673915863037,0.4323992431163788,0.7795683145523071,17.01520538330078,2458718.627,2.644,0.053,0.07,17.022
2019_1350,2019,0.005423529539257288,2458723.5,46.49433135986328,0.40772491693496704,0.6952488422393799,19.113948822021484,2458720.97,66.113,0.196,0.279,19.093
2019_1357,2019,0.00017313317221123725,2458731.75,13.575252532958984,1.0593876838684082,0.7625730037689209,16.562450408935547,2458735.788,28.758,0.413,0.16,16.567
2019_1428,2019,0.0006992014241404831,2458740.75,48.9096794128418,0.41698968410491943,0.3990906774997711,17.915090560913086,2458744.359,62.543,0.346,0.332,17.926
2019_1442,2019,0.0019503533840179443,2458738.5,7.523962020874023,0.657284677028656,0.7389031648635864,18.28133773803711,2458738.379,11.524,0.295,0.227,18.275
2019_1461,2019,0.004685626830905676,2458741.75,22.397390365600586,0.1770486682653427,0.2764228880405426,18.440458297729492,2458741.363,16.401,0.247,0.37,18.4
2019_1477,2019,0.004350500181317329,2458752.5,39.83169937133789,0.0678919106721878,0.05379639193415642,18.821176528930664,2458751.854,20.505,0.098,0.075,18.777
2023_0019,2023,0.013899055309593678,2460005.75,29.025327682495117,0.23685014247894287,0.7710631489753723,19.24020767211914,2460005.079,38.059,0.165,0.528,19.262
2023_0063,2023,0.00064476253464818,2460009.75,26.224512100219727,0.45358148217201233,0.9343544244766235,16.69108009338379,2460008.069,31.389,0.373,0.7,16.69
2023_0095,2023,0.00263785058632493,2460003.75,33.2437858581543,0.06943847984075546,0.3471021056175232,17.728349685668945,2460007.401,25.712,0.077,0.883,17.734
2023_0106,2023,0.001722046872600913,2460034.75,30.81992530822754,0.22227948904037476,0.971906304359436,17.91139030456543,2460034.032,33.882,0.188,0.795,17.919
2023_0124,2023,0.005286191124469042,2460037.75,24.346324920654297,0.24952921271324158,0.8141345381736755,18.491430282592773,2460037.765,31.254,0.197,0.665,18.566
2023_0132,2023,0.009700733236968517,2460029.75,18.95728874206543,0.06904289871454239,0.2764723300933838,18.57106590270996,2460030.871,15.864,0.04,0.31,18.57
2023_0187,2023,0.004928235895931721,2460056.75,37.658695220947266,0.19764621555805206,0.9117589592933655,18.47237777709961,2460056.212,55.388,0.107,0.432,18.422
2023_0213,2023,0.0010323167080059648,2460077.0,53.14857864379883,0.7444015145301819,0.9212197661399841,17.617656707763672,2460061.952,43.181,0.613,0.581,17.609
2023_0214,2023,0.0008511912892572582,2460013.75,24.354894638061523,0.21962976455688477,0.9896174669265747,16.562902450561523,2460011.765,19.607,0.198,0.935,16.565
2023_0233,2023,7.210453622974455e-05,2460076.5,36.92433166503906,1.1453931331634521,0.7371957302093506,16.03309440612793,2460070.523,49.041,0.609,0.216,16.033
2023_0279,2023,0.0026077411603182554,2460043.75,7.384025573730469,0.43334054946899414,0.8302983641624451,17.78107261657715,2460049.032,11.949,0.085,0.933,17.778
