  1326  727.76  318.23 19.860  1.291 18.569   7   0 0.053  214   3 0.040
  1327  797.73  319.83 18.965  0.985 17.980   8   0 0.044  214   3 0.024
  1329  484.70  320.89 19.470  0.851 18.618   7   0 0.039  213   4 0.040
  1330  816.21  320.97 20.158  1.000 19.158   6   1 0.033  215   2 0.070
  1334  871.49  323.82 19.025  0.992 18.033   7   1 0.020  216   1 0.034
  1337  659.15  324.17 99.999  9.999 18.905   0   0 9.999  216   1 0.058
  1338  737.92  322.86 19.838  1.050 18.787   5   2 0.007  215   2 0.050
  1342  792.03  324.96 19.645  0.946 18.700   8   0 0.048  215   2 0.049
  1343  748.98  327.36 18.913  0.861 18.052   8   0 0.033  218   1 0.042
  1344  859.96  325.72 18.729  0.375 18.354   8   0 0.145  217   1 0.139
  1345  466.55  327.11 19.404  0.888 18.516   7   0 0.034  214   3 0.041
  1346  875.14  327.04 19.366  0.878 18.488   7   1 0.031  216   2 0.044
  1348  581.04  328.55 19.480  0.916 18.564   7   0 0.045  216   1 0.043
  1349  867.78  328.49 19.124  0.813 18.311   8   0 0.056  218   0 0.062
  1350  880.98  328.16 19.591  0.772 18.819   8   0 0.061  216   2 0.050
  1351  796.03  330.10 19.417  1.235 18.181   8   0 0.049  216   2 0.029
  1354  487.98  331.84 19.531  0.946 18.585   8   0 0.045  218   1 0.046
  1357  835.36  332.80 19.267  1.030 18.237   7   0 0.043  219   1 0.032
  1361  693.68  335.70 19.591  0.917 18.674   7   0 0.037  218   2 0.047
  1362  735.31  334.92 19.599  0.965 18.634   8   0 0.040  217   3 0.040
  1364  726.30  335.97 18.743  0.869 17.873   8   0 0.036  220   1 0.033
  1366  496.43  337.67 19.162  0.743 18.419   7   1 0.013  217   3 0.037
  1370  654.34  340.99 19.270  0.990 18.280   7   0 0.051  218   2 0.034
  1371  766.93  341.39 19.007  0.940 18.067   8   0 0.035  220   0 0.029
  1373  685.28  342.79 19.563  0.922 18.642   8   0 0.054  219   1 0.043
  1374  548.62  343.41 19.356  0.896 18.459   7   0 0.039  218   2 0.037
  1376  702.38  344.71 19.471  1.151 18.320   7   0 0.022  218   2 0.030
  1379  453.70  345.17 19.992  1.212 18.780   7   0 0.042  220   0 0.053
  1380  574.42  346.12 19.503  0.950 18.553   7   0 0.038  218   2 0.037
  1381  854.72  346.66 19.209  0.941 18.267   8   0 0.043  218   2 0.033
  1382  694.06  348.92 19.469  1.063 18.406   7   0 0.051  217   2 0.040
  1385  478.81  351.09 19.529  0.887 18.641   6   1 0.024  219   1 0.041
  1386  766.03  351.12 19.382  0.814 18.568   8   0 0.037  219   1 0.045
  1396  848.38  356.56 19.815  1.147 18.668   8   0 0.073  218   2 0.060
  1397  868.21  356.87 19.198  1.119 18.079   8   0 0.036  219   1 0.025
  1399  858.68  357.77 19.315  0.871 18.445   8   0 0.046  219   1 0.039
  1401  482.36  358.37 19.351  1.006 18.346   7   0 0.029  218   2 0.035
  1402  826.05  358.93 19.243  0.962 18.281   7   0 0.019  218   2 0.032
  1406  510.35  360.05 19.330  0.969 18.361   7   1 0.016  216   3 0.040
  1407  624.12  359.71 19.494  1.197 18.297   7   1 0.027  220   1 0.035
  1410  893.82  360.85 19.601  0.942 18.659   7   0 0.048  217   2 0.049
  1412  762.56  362.74 19.269  1.150 18.119   8   0 0.038  218   2 0.029
  1413  792.36  362.66 19.476  0.972 18.504   7   0 0.027  220   0 0.037
  1415  769.55  364.13 19.294  0.864 18.430   8   0 0.042  219   1 0.036
  1416  463.35  365.58 18.875  0.964 17.911   8   0 0.021  218   2 0.023
  1417  774.34  364.50 19.441  0.897 18.544   8   0 0.049  218   2 0.041
  1419  679.30  365.95 19.305  0.814 18.491   8   0 0.044  218   2 0.060
  1420  700.43  365.98 19.127  0.972 18.155   8   0 0.025  220   0 0.032
  1422  505.72  366.76 19.647  0.759 18.888   8   0 0.063  216   2 0.057
  1423  627.69  367.92 19.248  0.916 18.331   7   0 0.030  217   2 0.028
  1426  441.10  368.03 19.675  0.861 18.814   7   0 0.056  217   3 0.048
  1433  468.97  371.02 19.251  0.917 18.334   8   0 0.048  219   1 0.031
  1434  661.75  372.50 19.444  1.143 18.301   8   0 0.042  218   3 0.036
  1435  844.07  371.62 19.538  0.948 18.590   7   0 0.059  219   1 0.042
  1444  598.26  377.19 19.723  0.974 18.750   7   0 0.030  215   4 0.044
  1445  710.36  377.50 19.643  0.997 18.647   7   0 0.038  217   3 0.040
  1449  545.87  380.42 19.661  0.992 18.669   8   0 0.039  219   1 0.075
  1451  660.93  381.56 19.456  0.853 18.604   8   0 0.033  219   1 0.044
  1452  673.16  380.62 20.521  1.705 18.816   7   0 0.062  217   1 0.047
  1453  794.58  382.91 19.095  0.869 18.226   8   0 0.032  217   3 0.036
  1458  635.60  384.44 19.611  0.959 18.652   7   0 0.039  220   0 0.044
  1459  606.24  386.88 19.141  0.888 18.254   7   0 0.015  219   1 0.036
  1460  770.52  386.45 19.637  0.988 18.650   6   1 0.020  219   1 0.045
  1463  726.34  386.72 19.571  0.758 18.813   7   0 0.038  220   0 0.048
  1465  775.77  389.09 18.956  0.902 18.055   8   0 0.029  219   1 0.031
  1466  501.06  389.39 19.328  0.755 18.572   8   0 0.064  218   1 0.087
  1467  838.78  389.96 19.426  0.935 18.491   7   0 0.029  218   2 0.038
  1471  480.73  393.04 19.113  1.210 17.903   8   0 0.025  219   1 0.027
  1472  520.31  392.31 19.311  0.876 18.435   8   0 0.037  218   2 0.042
  1474  697.43  394.82 19.156  0.958 18.198   8   0 0.045  217   3 0.029
  1475  783.45  394.78 19.217  0.994 18.223   7   0 0.029  218   2 0.032
  1476  845.03  394.84 19.371  0.793 18.578   8   0 0.037  218   3 0.042
  1481  487.10  396.37 19.298  0.985 18.313   8   0 0.028  219   1 0.038
  1484  750.59  398.56 19.689  0.913 18.776   7   1 0.023  217   3 0.049
  1491  594.55  402.17 19.607  9.999 99.999   8   0 0.074    0   0 9.999
  1495  709.79  405.06 19.581  0.928 18.653   7   0 0.014  220   0 0.046
  1496  877.15  405.67 19.566  0.913 18.652   7   0 0.043  216   2 0.043
  1500  595.79  407.27 21.186  9.999 99.999   7   0 0.495    0   0 9.999
  1501  657.28  407.34 19.512  1.104 18.409   7   0 0.026  218   2 0.033
  1502  461.85  408.54 19.653  0.928 18.725   7   0 0.027  218   0 0.050
  1503  761.65  408.74 99.999  9.999 18.299   0   0 9.999  217   3 0.032
  1505  521.39  411.19 19.185  1.008 18.177   7   1 0.011  219   1 0.032
  1506  682.67  410.94 19.551  0.952 18.599   7   0 0.045  217   3 0.042
  1507  841.63  412.21 18.879  0.858 18.021   7   1 0.010  219   1 0.030
  1508  531.28  412.44 19.399  0.924 18.475   7   0 0.028  219   1 0.039
  1513  554.13  413.84 19.641  1.126 18.515   7   0 0.035  218   1 0.045
  1517  581.77  415.47 19.206  9.999 99.999   8   0 0.093    0   0 9.999
  1518  648.85  414.85 19.380  0.943 18.437   7   0 0.029  220   0 0.041
  1521  599.20  417.43 99.999  9.999 99.999   0   0 9.999    0   0 9.999
  1523  585.78  418.76 99.999  9.999 99.999   0   0 9.999    0   0 9.999
  1524  595.11  419.21 99.999  9.999 99.999   0   0 9.999    0   0 9.999
  1528  761.80  421.28 19.605  0.929 18.675   7   0 0.024  218   2 0.046
  1531  893.28  422.13 19.741  1.029 18.712   7   0 0.032  218   2 0.042
  1534  618.27  424.82 19.328  0.972 18.357   8   0 0.021  218   2 0.037
  1536  490.53  426.08 19.753  1.096 18.657   7   0 0.042  219   1 0.050
  1537  761.90  426.80 19.527  0.935 18.592   6   1 0.010  218   2 0.044
  1538  777.04  427.46 18.932  0.968 17.964   8   0 0.024  219   1 0.025
  1541  713.08  428.15 18.980  0.942 18.039   8   0 0.031  219   1 0.026
  1542  807.36  426.84 19.512  0.826 18.686   7   0 0.035  217   2 0.040
  1544  581.82  428.44 19.312  1.062 18.250   7   1 0.022  218   1 0.063
  1545  677.75  429.30 19.028  0.760 18.268   8   0 0.039  220   1 0.060
  1546  682.88  429.37 19.205  0.765 18.440   8   0 0.037  217   3 0.050
  1555  710.70  433.72 19.271  1.049 18.222   7   1 0.012  219   1 0.035
  1558  772.18  436.01 19.268  0.804 18.464   8   0 0.023  218   2 0.040
  1561  575.86  437.80 19.782  1.050 18.732   5   2 0.011  218   2 0.046
  1562  858.57  438.86 19.092  0.890 18.202   8   0 0.038  221   0 0.043
  1564  637.79  440.48 19.057  0.950 18.107   8   0 0.020  217   3 0.030
  1565  652.32  439.27 19.576  0.997 18.578   8   0 0.050  218   2 0.045
  1568  785.61  443.46 19.149  0.899 18.250   8   0 0.033  219   1 0.035
  1571  771.21  442.75 19.553  0.894 18.659   6   1 0.031  218   2 0.046
  1573  505.46  446.08 18.929  0.923 18.006   8   0 0.022  217   3 0.026
  1575  496.66  448.60 19.337  0.949 18.389   8   0 0.023  219   1 0.038
  1576  673.90  448.47 20.003  1.479 18.524   7   0 0.047  218   2 0.043
  1577  711.77  449.03 18.955  0.810 18.145   8   0 0.076  221   1 0.066
  1580  667.01  448.94 19.329  0.583 18.746   8   0 0.038  218   2 0.049
  1583  517.02  449.83 20.084  1.291 18.793   7   0 0.054  217   3 0.049
  1584  581.43  449.61 19.685  0.941 18.744   8   0 0.034  216   2 0.058
  1587  598.90  452.32 19.598  0.892 18.706   7   0 0.033  218   1 0.047
  1590  605.95  452.55 19.689  0.973 18.716   7   0 0.045  216   2 0.052
  1594  533.79  454.18 19.550  1.141 18.409   7   0 0.028  217   3 0.033
  1595  826.75  455.10 19.129  0.883 18.246   8   0 0.029  217   3 0.033
  1599  542.20  456.68 19.728  0.883 18.845   7   0 0.024  218   2 0.055
  1604  616.11  461.60 19.126  1.073 18.053   7   0 0.026  218   2 0.026
  1605  811.23  460.72 19.159  0.761 18.398   8   0 0.035  220   1 0.057
  1606  777.09  462.52 19.608  1.388 18.220   8   0 0.045  219   2 0.044
  1610  838.01  464.89 18.974  0.880 18.094   8   0 0.030  218   3 0.042
  1612  804.62  464.22 19.572  0.879 18.693   7   1 0.047  220   1 0.071
  1614  560.51  465.44 20.021  1.349 18.672   7   0 0.019  216   2 0.049
  1615  697.96  465.30 19.476  0.748 18.728   8   0 0.038  218   2 0.049
  1618  718.44  468.52 19.302  0.784 18.518   7   0 0.025  220   0 0.041
  1619  866.29  468.77 19.557  0.968 18.589   7   1 0.029  220   0 0.043
  1624  520.79  470.83 99.999  9.999 18.629   0   0 9.999  219   1 0.042
